0, 7169.02, 2004-01-09T17:28:15.618-05:00
24, 5541.62, 2004-01-23T23:54:46.618-05:00
15, 4089.38, 2004-01-25T05:16:36.618-05:00
27, 2762.32, 2004-01-08T21:15:00.618-05:00
26, 1345.26, 2004-01-23T12:02:35.618-05:00
1, 4784.81, 2004-01-10T22:45:39.618-05:00
25, 6381.12, 2004-01-05T10:38:07.618-05:00
17, 4693.24, 2004-01-10T14:47:14.618-05:00
1, 9692.51, 2004-01-21T17:37:39.618-05:00
19, 1191.54, 2004-01-19T01:26:15.618-05:00
14, 6225.25, 2004-01-29T07:26:15.618-05:00
26, 105904.75, 2004-01-28T10:40:39.618-05:00
14, 6806.79, 2004-01-20T03:07:33.618-05:00
30, 8098.60, 2004-01-19T07:33:31.618-05:00
25, 6271.15, 2004-01-03T20:57:17.618-05:00
5, 9319.28, 2004-01-06T13:29:27.618-05:00
16, 2840.94, 2004-01-09T19:25:40.618-05:00
0, 7468.79, 2004-01-08T14:26:12.618-05:00
9, 1939.52, 2004-01-27T20:38:10.618-05:00
3, 9642.71, 2004-01-27T17:50:59.618-05:00
3, 8378.26, 2004-01-04T12:43:41.618-05:00
13, 7481.52, 2004-01-31T09:01:10.618-05:00
29, 5097.17, 2004-01-23T04:42:11.618-05:00
25, 8731.99, 2004-01-09T07:54:00.618-05:00
29, 7974.53, 2004-01-16T14:52:06.618-05:00
3, 8682.65, 2004-01-19T12:18:38.618-05:00
1, 3148.02, 2004-01-21T08:01:15.618-05:00
5, 5724.32, 2004-01-04T05:37:24.618-05:00
11, 1638.22, 2004-01-16T01:56:00.618-05:00
14, 5680.85, 2004-01-02T20:31:25.618-05:00
9, 1506.46, 2004-01-31T13:43:36.618-05:00
21, 4040.98, 2004-01-10T10:46:06.618-05:00
21, 8332.93, 2004-01-28T04:56:30.618-05:00
30, 7676.11, 2004-01-20T23:54:10.618-05:00
24, 3327.23, 2004-01-18T04:03:45.618-05:00
5, 8021.29, 2004-01-02T10:12:16.618-05:00
15, 5088.24, 2004-01-13T03:34:10.618-05:00
6, 4592.67, 2004-01-26T07:52:51.618-05:00
18, 5961.68, 2004-01-15T03:49:31.618-05:00
27, 772.39, 2004-01-13T09:46:44.618-05:00
6, 9494.65, 2004-01-31T16:23:05.618-05:00
23, 6262.23, 2004-01-26T08:32:25.618-05:00
9, 8893.66, 2004-01-03T08:10:06.618-05:00
12, 1838.01, 2004-01-13T14:08:57.618-05:00
27, 2234.90, 2004-01-09T05:48:34.618-05:00
20, 9964.90, 2004-01-21T20:23:43.618-05:00
22, 2878.64, 2004-01-25T10:42:40.618-05:00
5, 8494.53, 2004-01-30T17:42:10.618-05:00
10, 9868.88, 2004-01-24T11:05:48.618-05:00
16, 6683.94, 2004-01-27T08:22:11.618-05:00
1, 4668.34, 2004-01-16T17:42:11.618-05:00
29, 1875.18, 2004-01-16T15:31:21.618-05:00
2, 6340.92, 2004-01-16T17:54:39.618-05:00
10, 8666.76, 2004-01-13T06:55:22.618-05:00
15, 6048.35, 2004-01-25T03:07:30.618-05:00
24, 8703.37, 2004-01-08T00:06:10.618-05:00
19, 4617.97, 2004-01-28T10:50:18.618-05:00
4, 308.49, 2004-01-26T11:15:51.618-05:00
28, 9949.81, 2004-01-12T04:16:43.618-05:00
2, 1183.66, 2004-01-16T06:33:40.618-05:00
22, 7493.82, 2004-01-24T07:59:13.618-05:00
28, 985.77, 2004-01-20T02:50:46.618-05:00
28, 116.78, 2004-01-20T17:13:45.618-05:00
17, 1553.89, 2004-01-01T17:08:45.618-05:00
5, 8909.33, 2004-01-23T15:46:27.618-05:00
20, 2267.18, 2004-01-26T01:05:19.618-05:00
8, 4219.03, 2004-01-22T16:52:02.618-05:00
2, 3944.77, 2004-02-01T13:35:41.618-05:00
19, 4140.43, 2004-01-18T13:08:40.618-05:00
4, 2913.11, 2004-01-19T02:49:44.618-05:00
17, 3395.88, 2004-01-02T01:11:44.618-05:00
21, 4523.14, 2004-02-01T09:10:42.618-05:00
11, 8894.81, 2004-01-07T01:34:02.618-05:00
13, 3251.62, 2004-01-31T14:50:17.618-05:00
29, 3999.77, 2004-01-23T06:52:26.618-05:00
24, 1412.68, 2004-01-18T15:32:59.618-05:00
4, 3735.89, 2004-01-24T14:01:30.618-05:00
